track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers,user_rating
A Letter Home Intro,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,,7.0
A Man Needs a Maid,Harvest,studio,Neil Young,37:10:00,1972-02,"January, 1971 - September, 1971"," Barking Town Hall, London, England Broken Arrow Studio #2, CA Quadrafonic Sound Studios, Nashville, TN ",Pop/Rock,"Album Rock, Country-Rock, Singer/Songwriter","Autumnal, Pastoral, Poignant, Rustic, Ambitious, Complex, Earnest, Laid-Back/Mellow, Meandering, Messy, Organic, Ramshackle, Reflective, Relaxed, Searching, Wistful, Bittersweet, Confrontational, Earthy, Literate","Introspection, Reflection","Pop/Rock, Classical","Album Rock, Country-Rock, Singer/Songwriter, Classical Crossover, Soft Rock, Folk-Rock","Autumnal, Bittersweet, Brooding, Dramatic, Lush, Plaintive, Reflective, Sprawling, Wistful, Sad, Yearning","Feeling Blue, Heartache, Introspection, Rainy Day, Reflection, Regret",Neil Young,9.0
Acadienne,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,Stephen Stills,7.0
Act of Love,Mirror Ball,studio,Neil Young,55:21:00,,"January 26, 1995 - February 26, 1995","A & M Studios, Hollywood, CA",Pop/Rock,"Album Rock, American Trad Rock, Country-Rock, Hard Rock","Pastoral, Rustic, Gritty, Sentimental, Calm/Peaceful, Gutsy, Insular, Intimate, Laid-Back/Mellow, Melancholy, Plaintive, Reflective, Relaxed, Sad, Weary, Wistful, Yearning, Autumnal, Bittersweet, Earthy, Literate","Comfort, Drinking, Feeling Blue, Heartache, Late Night, Regret, Reflection",Pop/Rock,"Album Rock, American Trad Rock, Country-Rock, Hard Rock, Southern Rock","Gritty, Aggressive, Earthy, Gutsy, Messy, Organic, Ramshackle, Rollicking, Rowdy, Weary","Drinking, Feeling Blue, Heartache, Introspection, Reflection, In Love, Sex",Neil Young,6.0
After the Dolphin,Live It Up,live,"Crosby, Stills & Nash",39:17:00,,"February 1, 1986 - February 5, 1990"," Capitol Recording Studios, Studio A, Hollywood, CA Devonshire Studios, 3 Buritys Home-Brew Studio, OH ",Pop/Rock,"Contemporary Pop/Rock, Album Rock","Pastoral, Laid-Back/Mellow, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful",,Pop/Rock,"Folk-Rock, Psychedelic/Garage",,,"Craig Doerge, Graham Nash",5.0
After the Garden,Living with War,studio,Neil Young,41:47:00,,"March, 2006 - April, 2006",,Pop/Rock,"Album Rock, Hard Rock","Angry, Outraged, Passionate, Searching, Urgent, Yearning","Introspection, Loss/Grief, Reflection, Revolution",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,Neil Young,7.0
After the Gold Rush,After the Gold Rush,studio,Neil Young,33:41:00,,"August, 1969 - January, 1970",,Pop/Rock,"Album Rock, Country-Rock, Singer/Songwriter, Contemporary Pop/Rock","Intimate, Wistful, Calm/Peaceful, Laid-Back/Mellow, Organic, Plaintive, Poignant, Reflective, Relaxed, Soothing, Yearning, Autumnal, Bittersweet, Gentle","Autumn, Introspection, Reflection",Pop/Rock,"Folk-Rock, Singer/Songwriter, Album Rock, Psychedelic/Garage, Adult Contemporary","Autumnal, Bittersweet, Eerie, Intimate, Melancholy, Plaintive, Poignant, Reflective, Relaxed, Sad, Searching, Wistful, Yearning, Dreamy","Feeling Blue, Heartache, Introspection, Late Night, Long Walk, Loss/Grief, Rainy Day, Reflection, Regret, Reminiscing, Solitude, Stay in Bed",Neil Young,10.0
After the Storm,After the Storm,studio,"Crosby, Stills & Nash",45:56:00,,"January 27, 1994 - July 1, 1994","Groove Masters Studio, Santa Monica, CA",Pop/Rock,"Contemporary Pop/Rock, Album Rock","Pastoral, Laid-Back/Mellow, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful",,,,,,Graham Nash,6.0
Ain't It Always,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,Stephen Stills,7.0
Alabama,Harvest,studio,Neil Young,37:10:00,1972-02,"January, 1971 - September, 1971"," Barking Town Hall, London, England Broken Arrow Studio #2, CA Quadrafonic Sound Studios, Nashville, TN ",Pop/Rock,"Album Rock, Country-Rock, Singer/Songwriter","Autumnal, Pastoral, Poignant, Rustic, Ambitious, Complex, Earnest, Laid-Back/Mellow, Meandering, Messy, Organic, Ramshackle, Reflective, Relaxed, Searching, Wistful, Bittersweet, Confrontational, Earthy, Literate","Introspection, Reflection",Pop/Rock,"Album Rock, Country-Rock, Hard Rock, Singer/Songwriter, Adult Contemporary, Contemporary Pop/Rock","Freewheeling, Laid-Back/Mellow, Provocative, Relaxed, Rousing, Summery, Sad","Hanging Out, Night Driving, Road Trip, Summer, The Great Outdoors, Loss/Grief, Politics/Society",Neil Young,9.0
Albert's Shuffle,Super Session,studio,Stephen Stills,50:22:00,1968,1968,,Blues,"Blues-Rock, Electric Chicago Blues, Regional Blues, Modern Electric Chicago Blues","Bittersweet, Freewheeling, Passionate, Playful, Reverent, Rousing, Street-Smart","Hanging Out, Imagination, Late Night, Relaxation, Road Trip",Blues,"Blues-Rock, Jam Bands, Modern Electric Chicago Blues",,,"Michael Bloomfield, Al Kooper",9.0
Albuquerque,Tonight's the Night,studio,Neil Young,44:45:00,,,,Pop/Rock,"Album Rock, Country-Rock, Hard Rock, Singer/Songwriter","Bittersweet, Druggy, Gloomy, Indulgent, Intimate, Melancholy, Messy, Ominous, Pastoral, Reflective, Rustic, Sad, Somber, Sparse, Weary, Wistful, Ambitious, Atmospheric, Autumnal, Brooding, Cathartic, Complex, Earnest, Eccentric, Hypnotic, Lazy, Meandering, Nihilistic, Nocturnal, Organic, Ramshackle, Searching, Confrontational, Earthy, Literate, Poignant","Loss/Grief, Scary Music, Introspection, Reflection",Pop/Rock,"Country-Rock, Singer/Songwriter, Album Rock, Hard Rock, Contemporary Pop/Rock, Heartland Rock","Atmospheric, Bittersweet, Brooding, Druggy, Earthy, Eccentric, Eerie, Freewheeling, Gloomy, Hypnotic, Indulgent, Laid-Back/Mellow, Lazy, Messy, Nocturnal, Reflective, Searching, Weary, Yearning, Dreamy, Quirky, Relaxed","Drinking, Feeling Blue, Hanging Out, Heartache, Introspection, Late Night, Night Driving, Regret, Road Trip",Neil Young,10.0
All Along the Watchtower,"Road Rock, Vol. 1",live,Neil Young,1:04:25,,,,Pop/Rock,"Album Rock, Country-Rock, Hard Rock","Pastoral, Rustic, Autumnal, Bittersweet, Brooding, Confrontational, Earthy, Literate, Poignant, Reflective, Ambitious, Complex, Earnest, Meandering, Messy, Organic, Ramshackle, Searching","Introspection, Reflection",,,Aggressive,,Bob Dylan,5.0
All Those Dreams,Storytone,studio,Neil Young,41:32:00,,19-Aug-14,"Capitol Studios, Hollywood, CA","Pop/Rock, Blues","Album Rock, Contemporary Blues, Country-Rock, Contemporary Singer/Songwriter","Autumnal, Pastoral, Poignant, Rustic, Ambitious, Complex, Earnest, Laid-Back/Mellow, Meandering, Messy, Organic, Ramshackle, Reflective, Relaxed, Searching, Wistful, Bittersweet, Confrontational, Earthy, Literate, Brash, Fun, Provocative, Rollicking, Rousing","Introspection, Reflection",,,,,Neil Young,6.0
Almost Cut My Hair,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Contemporary Pop/Rock, Hard Rock, Singer/Songwriter, Folk-Rock, Psychedelic/Garage","Brooding, Earnest, Earthy, Freewheeling, Insular, Organic, Quirky, Searching, Self-Conscious, Urgent, Warm, Passionate","Family Gatherings, Hanging Out, Introspection",David Crosby,10.0
Almost Gone,CSN 2012,live,"Crosby, Stills & Nash",2:31:33,,22-Apr-12,"The Performing Arts Center, San Luis Obispo, CA",Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,,,,,"Graham Nash, James Raymond",7.0
Already One,Comes a Time,studio,Neil Young,35:39:00,,"November 28, 1975 - November 21, 1977"," Broken Arrow, Redwood City, CA Columbia, London, England Sound Shop Recording Studios, Nashville, TN ",Pop/Rock,"Album Rock, Country-Rock, Singer/Songwriter, Soft Rock","Bittersweet, Calm/Peaceful, Earthy, Laid-Back/Mellow, Light, Plaintive, Poignant, Reflective, Relaxed, Soft/Quiet, Soothing, Sweet, Warm, Ambitious, Brooding, Cathartic, Difficult, Pastoral, Rustic, Searching, Acerbic, Angst-Ridden, Complex, Earnest, Eccentric, Literate, Melancholy, Messy, Nocturnal, Organic, Provocative, Quirky, Ramshackle, Rousing, Smooth, Volatile, Weary, Autumnal, Confrontational, Gentle, Harsh, Intimate, Wistful, Cerebral, Meandering, Refined, Sad, Somber, Angry, Bitter, Brash, Exuberant, Nihilistic, Self-Conscious, Aggressive, Bleak, Cynical/Sarcastic, Druggy, Eerie, Gloomy, Rollicking, Rowdy, Trippy","Autumn, Politics/Society, Reflection, Feeling Blue, Introspection, Heartache, Late Night, Solitude",Pop/Rock,"Album Rock, Country-Rock, Singer/Songwriter, Soft Rock","Calm/Peaceful, Gentle, Laid-Back/Mellow, Light, Poignant, Reflective, Relaxed, Smooth, Soft/Quiet, Soothing, Sweet, Warm","At the Office, Comfort, Day Driving, Hanging Out, Relaxation, Spring, Sunday Afternoon, The Great Outdoors",Neil Young,9.0
Amazonia,Stills Alone,studio,Stephen Stills,30:36:00,,,"Audio Vision Recording Studios, Miami, FL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,,,Stephen Stills,8.0
Ambulance Blues,On the Beach,studio,Neil Young,39:34:00,,"November 30, 1973 - April 7, 1974","Broken Arrow Studios, San Francisco, CA",Pop/Rock,"Country-Rock, Singer/Songwriter, Album Rock","Druggy, Earthy, Messy, Ramshackle, Urgent, Weary, Ambitious, Difficult, Pastoral, Rustic, Searching, Acerbic, Angst-Ridden, Autumnal, Bittersweet, Brooding, Cathartic, Complex, Earnest, Eccentric, Intimate, Laid-Back/Mellow, Lazy, Literate, Melancholy, Nocturnal, Organic, Plaintive, Poignant, Provocative, Quirky, Reflective, Rousing, Sad, Somber, Volatile, Wistful, Confrontational, Harsh, Cerebral, Meandering, Refined, Angry, Bitter, Brash, Exuberant, Nihilistic, Self-Conscious, Aggressive, Bleak, Cynical/Sarcastic, Eerie, Gentle, Gloomy, Rollicking, Rowdy, Sweet, Trippy","Autumn, Loss/Grief, Politics/Society, Reflection, Feeling Blue, Introspection, Heartache, Late Night, Solitude",Pop/Rock,"Singer/Songwriter, Album Rock, Blues-Rock, Folk-Rock","Autumnal, Bittersweet, Brooding, Lazy, Melancholy, Messy, Nocturnal, Plaintive, Ramshackle, Reflective, Sad, Somber, Sprawling, Weary, Yearning","Drinking, Freedom, Heartache, Illness, Late Night, Night Driving, Rainy Day, Reflection, Regret, Road Trip, Introspection",Neil Young,10.0
Amelia,Sky Trails,studio,David Crosby,50:29:00,,," Groove Masters Studios, Santa Monica Rumor Mill Recording, Santa Ynez The Bamboom Room, Altadena ",Folk,"Contemporary Singer/Songwriter, Folk-Pop","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,Joni Mitchell,7.0
America the Beautiful,Living with War,studio,Neil Young,41:47:00,,"March, 2006 - April, 2006",,Pop/Rock,"Album Rock, Hard Rock","Angry, Outraged, Passionate, Searching, Urgent, Yearning","Introspection, Loss/Grief, Reflection, Revolution",Religious,Gospel,"Calm/Peaceful, Dreamy, Sentimental, Yearning",,Traditional,7.0
American Dream,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","Pop/Rock, International","Folk-Rock, Psychedelic/Garage, Contemporary Pop/Rock, Singer/Songwriter","Rousing, Sentimental",Celebration,Neil Young,6.0
And So It Goes,Wild Tales,studio,Graham Nash,31:16:00,1973,,"Rudy Records, San Francisco, CA",Pop/Rock,"Country-Rock, Soft Rock, Singer/Songwriter","Yearning, Lonely",,Pop/Rock,Contemporary Pop/Rock,"Restrained, Yearning",In Love,Graham Nash,
Angel Flying Too Close to the Ground,Paradox,soundtrack,Neil Young,53:15:00,,," Capitol Studios, Hollywood, CA Shangri-La Studios, Malibu Sony Pictures Scoring Stage, Culver City, CA ","Pop/Rock, Stage & Screen","Album Rock, Contemporary Pop/Rock, Hard Rock, Country-Rock, Film Score","Autumnal, Organic, Quirky, Ambitious, Cathartic, Intimate, Meandering, Messy, Nocturnal, Plaintive, Ramshackle, Rustic, Searching, Bittersweet, Brooding, Cerebral, Difficult, Eccentric, Literate, Provocative, Reflective, Complex, Cynical/Sarcastic, Earnest, Harsh, Pastoral, Rousing, Trippy, Weary, Confrontational, Druggy, Laid-Back/Mellow, Poignant, Rollicking, Rowdy, Self-Conscious, Volatile, Wistful, Angry, Brash, Gentle, Melancholy, Somber","Autumn, Introspection, Politics/Society, Late Night, Reflection, Feeling Blue, Solitude",,,,,,6.0
Angry World,Le Noise,studio,Neil Young,37:55:00,,,La Noise,Pop/Rock,"Album Rock, Country-Rock, Hard Rock","Dramatic, Searching, Spooky, Sprawling, Suspenseful, Weary, Yearning","Heartache, Imagination, Introspection, Late Night, Lifecycle, Loneliness, Nighttime, Yearning",,,,,Neil Young,6.0
Another Broken Heart,This Path Tonight,studio,Graham Nash,41:43:00,,,,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Amiable/Good-Natured, Literate, Poignant, Laid-Back/Mellow, Gentle, Reflective, Relaxed, Sentimental, Summery, Warm, Pastoral, Smooth, Soothing, Sweet, Intimate, Wistful, Autumnal, Earnest, Organic","Politics/Society, Relaxation, Small Gathering",,,,,"Shane Fontayne, Graham Nash",
Another Sleep Song,Wild Tales,studio,Graham Nash,31:16:00,1973,,"Rudy Records, San Francisco, CA",Pop/Rock,"Country-Rock, Soft Rock, Singer/Songwriter","Yearning, Lonely",,Pop/Rock,"Folk-Rock, Psychedelic/Garage",Laid-Back/Mellow,"In Love, Motivation",Graham Nash,
Anticipatory Crowd,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8.0
Anything at All,CSN,studio,"Crosby, Stills & Nash",43:50:00,,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock, Album Rock","Pastoral, Laid-Back/Mellow, Amiable/Good-Natured, Gentle, Organic, Poignant, Relaxed, Sentimental, Smooth, Soothing, Summery, Sweet, Warm, Autumnal, Earnest, Intimate, Reflective, Wistful","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Pop/Rock,"Folk-Rock, Psychedelic/Garage",Laid-Back/Mellow,,David Crosby,8.0
Are There Any More Real Cowboys?,Old Ways,studio,Neil Young,36:45:00,1985-08,"January, 1983 - April, 1985"," Austin City Limits, Austin, TX Castle, Franklin, TN House Of David, Nashville, TN ",Pop/Rock,"Album Rock, Country-Rock, Heartland Rock","Rustic, Autumnal, Bittersweet, Gentle, Intimate, Melancholy, Plaintive, Poignant, Wistful",Reflection,Country,,"Nostalgic, Restrained, Romantic, Yearning",,Neil Young,6.0
Are You Ready for the Country?,Harvest,studio,Neil Young,37:10:00,1972-02,"January, 1971 - September, 1971"," Barking Town Hall, London, England Broken Arrow Studio #2, CA Quadrafonic Sound Studios, Nashville, TN ",Pop/Rock,"Album Rock, Country-Rock, Singer/Songwriter","Autumnal, Pastoral, Poignant, Rustic, Ambitious, Complex, Earnest, Laid-Back/Mellow, Meandering, Messy, Organic, Ramshackle, Reflective, Relaxed, Searching, Wistful, Bittersweet, Confrontational, Earthy, Literate","Introspection, Reflection","Pop/Rock, Electronic","Album Rock, Country-Rock, Singer/Songwriter, Soft Rock, Adult Contemporary, Club/Dance","Freewheeling, Laid-Back/Mellow, Organic, Relaxed, Rollicking, Rousing, Rustic, Swaggering, Warm, Lively, Optimistic","Comfort, Freedom, Guys Night Out, Hanging Out, Late Night, Night Driving, Partying, Relaxation, Road Trip, Summer, TGIF",Neil Young,9.0
Around Us,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,"Stephen Stills, Joe Vitale",7.0
Arrows,Live It Up,live,"Crosby, Stills & Nash",39:17:00,,"February 1, 1986 - February 5, 1990"," Capitol Recording Studios, Studio A, Hollywood, CA Devonshire Studios, 3 Buritys Home-Brew Studio, OH ",Pop/Rock,"Contemporary Pop/Rock, Album Rock","Pastoral, Laid-Back/Mellow, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful",,,,,,"David Crosby, Michael Hedges",5.0
As I Come of Age,Stills,studio,Stephen Stills,38:19:00,1975-06,," Criteria Studios, Miami, FL Island Studios, London, England Record Plant, Hollywood, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Folk-Rock, Psychedelic/Garage, Soft Rock","Earnest, Laid-Back/Mellow, Reflective, Searching, Sentimental, Warm, Wistful, Yearning, Amiable/Good-Natured","Hanging Out, Introspection, Reflection",Stephen Stills,8.0
Baby What You Want Me to Do?,Paradox,soundtrack,Neil Young,53:15:00,,," Capitol Studios, Hollywood, CA Shangri-La Studios, Malibu Sony Pictures Scoring Stage, Culver City, CA ","Pop/Rock, Stage & Screen","Album Rock, Contemporary Pop/Rock, Hard Rock, Country-Rock, Film Score","Autumnal, Organic, Quirky, Ambitious, Cathartic, Intimate, Meandering, Messy, Nocturnal, Plaintive, Ramshackle, Rustic, Searching, Bittersweet, Brooding, Cerebral, Difficult, Eccentric, Literate, Provocative, Reflective, Complex, Cynical/Sarcastic, Earnest, Harsh, Pastoral, Rousing, Trippy, Weary, Confrontational, Druggy, Laid-Back/Mellow, Poignant, Rollicking, Rowdy, Self-Conscious, Volatile, Wistful, Angry, Brash, Gentle, Melancholy, Somber","Autumn, Introspection, Politics/Society, Late Night, Reflection, Feeling Blue, Solitude",,,,,Jimmy Reed,6.0
Back Home,This Path Tonight,studio,Graham Nash,41:43:00,,,,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Amiable/Good-Natured, Literate, Poignant, Laid-Back/Mellow, Gentle, Reflective, Relaxed, Sentimental, Summery, Warm, Pastoral, Smooth, Soothing, Sweet, Intimate, Wistful, Autumnal, Earnest, Organic","Politics/Society, Relaxation, Small Gathering",,,,,"Shane Fontayne, Graham Nash",
Bad Boyz,After the Storm,studio,"Crosby, Stills & Nash",45:56:00,,"January 27, 1994 - July 1, 1994","Groove Masters Studio, Santa Monica, CA",Pop/Rock,"Contemporary Pop/Rock, Album Rock","Pastoral, Laid-Back/Mellow, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful",,,,"Aggressive, Passionate",,Stephen Stills,6.0
Bad News Beat,Landing on Water,studio,Neil Young,39:05:00,1986-07,"August, 1983 - March, 1986","Record One Studios, Los Angeles, CA",Pop/Rock,Album Rock,"Pastoral, Rustic, Autumnal, Bittersweet, Confrontational, Earthy, Literate, Poignant, Acerbic, Ambitious, Complex, Earnest, Meandering, Melancholy, Messy, Organic, Ramshackle, Refined, Rousing, Searching, Somber","Introspection, Reflection",,,,,Neil Young,4.0
