track,album,release_date,recording_period,producers,writers,vocals
Southern Pacific,Re·ac·tor,"November 2, 1981","October 9, 1980 – July 21, 1981",David Briggs,,
Motor City,Re·ac·tor,"November 2, 1981","October 9, 1980 – July 21, 1981",David Briggs,,
Rapid Transit,Re·ac·tor,"November 2, 1981","October 9, 1980 – July 21, 1981",David Briggs,,
Shots,Re·ac·tor,"November 2, 1981","October 9, 1980 – July 21, 1981",David Briggs,,
Betty Lou's Got a New Pair of Shoes,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",Bobby Freeman,
Rainin' in My Heart,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young","Slim Harpo, Jerry West",
Payola Blues,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young","Ben Keith, Young",
Wonderin',Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",,
Jellyroll Man,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",,
"Bright Lights, Big City",Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",Jimmy Reed,
"Cry, Cry, Cry",Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",,
Mystery Train,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young","Junior Parker, Sam Phillips",
Weight of the World,Landing on Water,"July 21, 1986",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Violent Side,Landing on Water,"July 21, 1986",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Hippie Dream,Landing on Water,"July 21, 1986",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Bad News Beat,Landing on Water,"July 21, 1986",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
People on the Street,Landing on Water,"July 21, 1986",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Hard Luck Stories,Landing on Water,"July 21, 1986",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
I Got a Problem,Landing on Water,"July 21, 1986",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Pressure,Landing on Water,"July 21, 1986",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Mideast Vacation,Life,"June 30, 1987","November 18–19, 1986","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Long Walk Home,Life,"June 30, 1987","November 18–19, 1986","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Around the World,Life,"June 30, 1987","November 18–19, 1986","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Too Lonely,Life,"June 30, 1987","November 18–19, 1986","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Prisoners of Rock 'N' Roll,Life,"June 30, 1987","November 18–19, 1986","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Cryin' Eyes,Life,"June 30, 1987","November 18–19, 1986","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
When Your Lonely Heart Breaks,Life,"June 30, 1987","November 18–19, 1986","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Ten Men Workin',This Note's for You,"April 11, 1988",November 1987 – January 1988,Niko Bolas,,
This Note's for You,This Note's for You,"April 11, 1988",November 1987 – January 1988,Niko Bolas,,
Coupe de Ville,This Note's for You,"April 11, 1988",November 1987 – January 1988,Niko Bolas,,
Life in the City,This Note's for You,"April 11, 1988",November 1987 – January 1988,Niko Bolas,,
Twilight,This Note's for You,"April 11, 1988",November 1987 – January 1988,Niko Bolas,,
Married Man,This Note's for You,"April 11, 1988",November 1987 – January 1988,Niko Bolas,,
Sunny Inside,This Note's for You,"April 11, 1988",November 1987 – January 1988,Niko Bolas,,
Can't Believe Your Lyin',This Note's for You,"April 11, 1988",November 1987 – January 1988,Niko Bolas,,
Hey Hey,This Note's for You,"April 11, 1988",November 1987 – January 1988,Niko Bolas,,
Rockin' in the Free World (Live acoustic),Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
Crime in the City (Sixty to Zero Part I),Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
Don't Cry,Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
Hangin' on a Limb,Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
Eldorado,Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
The Ways of Love,Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
Someday,Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
On Broadway,Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,"Barry Mann, Cynthia Weil, Jerry Leiber, Mike Stoller",
Wrecking Ball,Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
No More,Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
Too Far Gone,Freedom,"October 2, 1989","July 25, 1988– July 10, 1989",Niko Bolas,,
Country Home,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
White Line,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
Fuckin' Up,Ragged Glory,"September 10, 1990",April 1990,David Briggs,"Neil Young, Frank ""Poncho"" Sampedro",
Over and Over,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
Love to Burn,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
Farmer John,Ragged Glory,"September 10, 1990",April 1990,David Briggs,"Don Harris, Dewey Terry",
Mansion on the Hill,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
Days That Used to Be,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
Love and Only Love,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
Interstate,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
Don't Spook the Horse,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
Boxcar,Ragged Glory,"September 10, 1990",April 1990,David Briggs,,
Unknown Legend,Harvest Moon,"November 2, 1992",September 1991 – February 1992,Ben Keith,,
From Hank to Hendrix,Harvest Moon,"November 2, 1992",September 1991 – February 1992,Ben Keith,,
You and Me,Harvest Moon,"November 2, 1992",September 1991 – February 1992,Ben Keith,,
Harvest Moon,Harvest Moon,"November 2, 1992",September 1991 – February 1992,Ben Keith,,
War of Man,Harvest Moon,"November 2, 1992",September 1991 – February 1992,Ben Keith,,
One of These Days,Harvest Moon,"November 2, 1992",September 1991 – February 1992,Ben Keith,,
Such a Woman,Harvest Moon,"November 2, 1992",September 1991 – February 1992,Ben Keith,,
Old King,Harvest Moon,"November 2, 1992",September 1991 – February 1992,Ben Keith,,
Dreamin' Man,Harvest Moon,"November 2, 1992",September 1991 – February 1992,Ben Keith,,
My Heart,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Prime of Life,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Driveby,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Sleeps with Angels,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Western Hero,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Change Your Mind,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Blue Eden,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Safeway Cart,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Train of Love,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Trans Am,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Piece of Crap,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
A Dream That Can Last,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Song X,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
Act of Love,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
I'm the Ocean,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
Big Green Country,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
Truth Be Known,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
Downtown,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
What Happened Yesterday,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
Peace and Love,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
Throw Your Hatred Down,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
Scenery,Mirror Ball,"August 7, 1995","January – February 10, 1995",Brendan O'Brien,,
Big Time,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Loose Change,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Slip Away,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Changing Highways,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Scattered (Let's Think About Livin'),Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
This Town,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Music Arcade,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Good to See You,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Silver & Gold,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Daddy Went Walkin',Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Buffalo Springfield Again,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
The Great Divide,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Horseshoe Man,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Red Sun,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Distant Camera,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Razor Love,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
You're My Girl,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Mr. Disappointment,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Differently,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Quit (Don't Say You Love Me),Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Let's Roll,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Are You Passionate?,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Goin' Home,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
When I Hold You in My Arms,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Be With You,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Two Old Friends,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Falling from Above,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Double E,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Devil's Sidewalk,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Leave the Driving,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Carmichael,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Bandit,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Grandpa's Interview,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Bringin' Down Dinner,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Sun Green,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Be the Rain,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
The Painter,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
No Wonder,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
Falling Off the Face of the Earth,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
Far From Home,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
It's a Dream,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
Prairie Wind,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
Here for You,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
This Old Guitar,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
He Was the King,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
When God Made Me,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
After the Garden,Living with War,"May 2, 2006","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Living with War,Living with War,"May 2, 2006","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
The Restless Consumer,Living with War,"May 2, 2006","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Shock and Awe,Living with War,"May 2, 2006","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Families,Living with War,"May 2, 2006","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Flags of Freedom,Living with War,"May 2, 2006","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Let's Impeach the President,Living with War,"May 2, 2006","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Lookin' for a Leader,Living with War,"May 2, 2006","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Roger and Out,Living with War,"May 2, 2006","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Beautiful Bluebird,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007",Niko Bolas,,
Boxcar,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007",Niko Bolas,,
Ordinary People,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007",Niko Bolas,,
Shining Light,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007",Niko Bolas,,
The Believer,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007",Niko Bolas,,
Spirit Road,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007",Niko Bolas,,
Dirty Old Man,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007",Niko Bolas,,
Ever After,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007",Niko Bolas,,
No Hidden Path,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007",Niko Bolas,,
When Worlds Collide,Fork in the Road,"April 7, 2009","December 19 – 21, 2008",Niko Bolas,,
Fuel Line,Fork in the Road,"April 7, 2009","December 19 – 21, 2008",Niko Bolas,,
Just Singing a Song,Fork in the Road,"April 7, 2009","December 19 – 21, 2008",Niko Bolas,,
Johnny Magic,Fork in the Road,"April 7, 2009","December 19 – 21, 2008",Niko Bolas,,
Cough Up the Bucks,Fork in the Road,"April 7, 2009","December 19 – 21, 2008",Niko Bolas,,
Get Behind the Wheel,Fork in the Road,"April 7, 2009","December 19 – 21, 2008",Niko Bolas,,
Off the Road,Fork in the Road,"April 7, 2009","December 19 – 21, 2008",Niko Bolas,,
Hit the Road,Fork in the Road,"April 7, 2009","December 19 – 21, 2008",Niko Bolas,,
Light a Candle,Fork in the Road,"April 7, 2009","December 19 – 21, 2008",Niko Bolas,,
Walk with Me,Le Noise,"September 28, 2010","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Sign of Love,Le Noise,"September 28, 2010","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Someone's Gonna Rescue You,Le Noise,"September 28, 2010","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Love and War,Le Noise,"September 28, 2010","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Angry World,Le Noise,"September 28, 2010","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Hitchhiker,Le Noise,"September 28, 2010","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Peaceful Valley Boulevard,Le Noise,"September 28, 2010","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Oh Susannah,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Stephen Collins Foster; :Tim Rose,
Clementine,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",; : Young,
Tom Dula,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",; : Young,
Gallows Pole,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",; :Odetta Felious Gordon,
Get a Job,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon","Richard Lewis, Earl Beal, Raymond Edwards, William Horton",
Travel On,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon","; :Paul Clayton, Larry Ehrlich, David Lazar, Tom Six",
High Flyin' Bird,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Billy Edd Wheeler,
Jesus' Chariot (She'll Be Coming Round the Mountain),Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",; : Young,
This Land Is Your Land,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Woody Guthrie,
Wayfarin' Stranger,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",; :Burl Ives,
Driftin' Back,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Psychedelic Pill,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Ramada Inn,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Born in Ontario,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Twisted Road,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
She's Always Dancing,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
For the Love of Man,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Walk Like a Giant,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Psychedelic Pill (alternate mix),Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Driftin' Back (Part 2),Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Horse Back,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Psychedelic Pill (alternate mix 1),Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
A Letter Home Intro,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",,
Changes,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Phil Ochs,
Girl from the North Country,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Bob Dylan,
Needle of Death,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Bert Jansch,
Early Morning Rain,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Gordon Lightfoot,
Crazy,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Willie Nelson,
Reason to Believe,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Tim Hardin,
On the Road Again,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Willie Nelson,
If You Could Read My Mind,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Gordon Lightfoot,
Since I Met You Baby,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Ivory Joe Hunter,
My Hometown,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Bruce Springsteen,
Blowin' in the Wind,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Bob Dylan,
Plastic Flowers (Orchestral),Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Who's Gonna Stand Up? (Orchestral),Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
I Want to Drive My Car (Big Band),Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Glimmer (Orchestral),Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Say Hello to Chicago (Big Band),Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Tumbleweed (Orchestral),Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Like You Used to Do (Big Band),Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
I'm Glad I Found You (Orchestral),Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
When I Watch You Sleeping (Orchestral),Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Plastic Flowers,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Who's Gonna Stand Up?,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
I Want to Drive My Car,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Glimmer,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Say Hello to Chicago,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Tumbleweed,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
Like You Used to Do,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
I'm Glad I Found You,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
When I Watch You Sleeping,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
All Those Dreams,Storytone,"November 4, 2014",June 2014 August 2014 ,"Niko Bolas, ",,
A New Day for Love,The Monsanto Years,"June 29, 2015","January 27 – February 11, 2015",John Hanlon,,
Wolf Moon,The Monsanto Years,"June 29, 2015","January 27 – February 11, 2015",John Hanlon,,
People Want to Hear About Love,The Monsanto Years,"June 29, 2015","January 27 – February 11, 2015",John Hanlon,,
Big Box,The Monsanto Years,"June 29, 2015","January 27 – February 11, 2015",John Hanlon,,
A Rock Star Bucks A Coffee Shop,The Monsanto Years,"June 29, 2015","January 27 – February 11, 2015",John Hanlon,,
Workin' Man,The Monsanto Years,"June 29, 2015","January 27 – February 11, 2015",John Hanlon,,
Rules of Change,The Monsanto Years,"June 29, 2015","January 27 – February 11, 2015",John Hanlon,,
Monsanto Years,The Monsanto Years,"June 29, 2015","January 27 – February 11, 2015",John Hanlon,,
Peace Trail,Peace Trail,"December 9, 2016","September 9 – 12, 2016",John Hanlon,,
Can't Stop Workin',Peace Trail,"December 9, 2016","September 9 – 12, 2016",John Hanlon,,
Indian Givers,Peace Trail,"December 9, 2016","September 9 – 12, 2016",John Hanlon,,
Show Me,Peace Trail,"December 9, 2016","September 9 – 12, 2016",John Hanlon,,
Texas Rangers,Peace Trail,"December 9, 2016","September 9 – 12, 2016",John Hanlon,,
Terrorist Suicide Hang Gliders,Peace Trail,"December 9, 2016","September 9 – 12, 2016",John Hanlon,,
John Oaks,Peace Trail,"December 9, 2016","September 9 – 12, 2016",John Hanlon,,
My Pledge,Peace Trail,"December 9, 2016","September 9 – 12, 2016",John Hanlon,,
Glass Accident,Peace Trail,"December 9, 2016","September 9 – 12, 2016",John Hanlon,,
Already Great,The Visitor,"December 1, 2017","November 4 – 7, 2016June 9, 2017August 5 – 7, 2017",John Hanlon,,
Fly by Night Deal,The Visitor,"December 1, 2017","November 4 – 7, 2016June 9, 2017August 5 – 7, 2017",John Hanlon,,
Almost Always,The Visitor,"December 1, 2017","November 4 – 7, 2016June 9, 2017August 5 – 7, 2017",John Hanlon,,
Stand Tall,The Visitor,"December 1, 2017","November 4 – 7, 2016June 9, 2017August 5 – 7, 2017",John Hanlon,,
Change of Heart,The Visitor,"December 1, 2017","November 4 – 7, 2016June 9, 2017August 5 – 7, 2017",John Hanlon,,
Carnival,The Visitor,"December 1, 2017","November 4 – 7, 2016June 9, 2017August 5 – 7, 2017",John Hanlon,,
Diggin' a Hole,The Visitor,"December 1, 2017","November 4 – 7, 2016June 9, 2017August 5 – 7, 2017",John Hanlon,,
Children of Destiny,The Visitor,"December 1, 2017","November 4 – 7, 2016June 9, 2017August 5 – 7, 2017",John Hanlon,,
When Bad Got Good,The Visitor,"December 1, 2017","November 4 – 7, 2016June 9, 2017August 5 – 7, 2017",John Hanlon,,
Think of Me,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
She Showed Me Love,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
Olden Days,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
Help Me Lose My Mind,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
Green Is Blue,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
Shut It Down,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
Milky Way,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
Eternity,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
Rainbow of Colors,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
I Do,Colorado,"October 25, 2019","January 28, 2019February 4, 2019April 16 – 25, 2019",John Hanlon,,
Love Earth,World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
Overhead,World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
I Walk with You (Earth Ringtone),World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
This Old Planet (Changing Days),World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
The World (Is in Trouble Now),World Record,"November 18, 2022","May 2 – 11, 2022",Rick Rubin,,
