track,album,release_date,recording_period,producers,writers,vocals
Sweet Little Sixteen,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Chuck Berry,Clarke
Oriental Sadness,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Ransford,Clarke and Nash
Take Your Time,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,"Buddy Holly, Norman Petty","Clarke, Nash"
Don't You Even Care,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,"Clint Ballard, Jr.",Clarke
Fifi the Flea,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Ransford,Nash
Stewball,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,"Bob Yellin, Ralph Rinzler, John Herald","Clarke, Nash, and Hicks"
I've Got a Way of My Own,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Ransford,Clarke and Nash
Bus Stop,Bus Stop,October 1966,1963–1966,Ron Richards,Graham Gouldman,Clarke
Candy Man,Bus Stop,October 1966,1963–1966,Ron Richards,Neil-Ross,Clarke
Baby That's All,Bus Stop,October 1966,1963–1966,Ron Richards,Chester Mann,"Clarke, Nash and Hicks"
I Am a Rock,Bus Stop,October 1966,1963–1966,Ron Richards,Paul Simon,Clarke
Sweet Little Sixteen,Bus Stop,October 1966,1963–1966,Ron Richards,Chuck Berry,Clarke
Don't Run and Hide,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke
Oriental Sadness,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke and Nash
Mickey's Monkey,Bus Stop,October 1966,1963–1966,Ron Richards,Holland-Dozier-Holland,Clarke
Little Lover,Bus Stop,October 1966,1963–1966,Ron Richards,Clarke-Nash,Clarke
You Know He Did,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke
Bus Stop,Bus Stop,October 1966,1963–1966,Ron Richards,Graham Gouldman,Clarke
I Take What I Want,Bus Stop,October 1966,1963–1966,Ron Richards,Porter-Hodges-Hayes,Clarke
That's How Strong My Love Is,Bus Stop,October 1966,1963–1966,Ron Richards,Roosevelt Jamison,Clarke
Sweet Little Sixteen,Bus Stop,October 1966,1963–1966,Ron Richards,Chuck Berry,Clarke
Oriental Sadness,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke and Nash
Don't Run and Hide,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke
I've Got a Way of My Own,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke and Nash
Don't You Even Care (What's Gonna Happen to Me),Bus Stop,October 1966,1963–1966,Ron Richards,"Clint Ballard, Jr.",Clarke
Very Last Day,Bus Stop,October 1966,1963–1966,Ron Richards,Paul Stookey-Peter Yarrow,Clarke
What’s Wrong with the Way I Live,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,2:02
Pay You Back with Interest,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,2:46
Tell Me to My Face,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,3:09
Clown,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,2:16
Suspicious Look in Your Eyes,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,3:37
High Classed,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,2:21
Peculiar Situation,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,2:51
What Went Wrong,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,2:12
Crusader,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,3:48
Don't Even Think About Changing,For Certain Because,9 December 1966,17 November 1965 –17 October 1966[1],Ron Richards,,2:13
Then the Heartaches Begin,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,2:48
Stop Right There,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,2:28
Water on the Brain,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,2:27
Lullaby to Tim,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,3:04
Have You Ever Loved Somebody?,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,3:04
Rain on the Window,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,3:16
Heading for a Fall,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,2:23
Ye Olde Toffee Shoppe,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,2:22
When Your Light's Turned On,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,2:37
Leave Me,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,2:30
Carrie Anne,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Stop Right There,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Rain on the Window,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Then the Heartaches Begin,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
You Need Love,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Heading For a Fall,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Games We Play,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Lullaby to Tim,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Dear Eloise,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,3:04
Away Away Away,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,2:19
Maker,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,2:52
Pegasus,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,2:38
Would You Believe?,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,4:08
Postcard,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,2:17
Charlie and Fred,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,2:56
Try It,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,3:04
Elevated Observations?,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,2:32
Step Inside,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,2:51
Dear Eloise,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Wishyouawish,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Charlie and Fred,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Butterfly,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Leave Me,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
King Midas in Reverse,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Would You Believe,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Away Away Away,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Maker,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Casualty,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash",Paul Bliss,
Take My Love and Run,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Barry Black, Brian Chatton",
Say You'll Be Mine,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash",Paul Bliss,
Something Ain't Right,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Alan Tarney, Tom Snow, Trevor Spencer",
Stop! In the Name of Love,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Brian Holland, Lamont Dozier, Eddie Holland",
I Got What I Want,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Paul Bliss, Stephen Kipner",
Just One Look,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Gregory Carroll, Doris Payne",
Someone Elses Eyes,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash",Paul Bliss,
Rockin' Robin,The Hollies,June 1964[1],,Ron Richards,Thomas,Clarke
Whatcha Gonna Do 'Bout It,The Hollies,June 1964[1],,Ron Richards,"Gregory Carroll, Doris Payne",Clarke
Just One Look,Just One Look,June 1964[1],,Ron Richards,"Gregory Carroll, Doris Payne",Clarke
Lucille,Just One Look,June 1964[1],,Ron Richards,"Albert Collins, Richard Penniman",Clarke
You Better Move On,Here I Go Again,October 1964[1],,Ron Richards,Arthur Alexander,Clarke
Here I Go Again,Here I Go Again,October 1964[1],,Ron Richards,"Clive Westlake, Mort Shuman",Clarke
I'm Alive,I'm Alive,September 1965[1],,Ron Richards,"Clint Ballard, Jr.",Clarke
Honey and Wine,I'm Alive,September 1965[1],,Ron Richards,"Gerry Goffin, Carole King",Clarke
Military Madness,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Better Days,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Wounded Bird,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
I Used to Be a King,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Simple Man,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Man in the Mirror,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
There's Only One,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Sleep Song,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Chicago,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Earth & Sky,Earth & Sky,15 February 1980,,Graham Nash,,
Love Has Come,Earth & Sky,15 February 1980,,Graham Nash,,
Out on the Island,Earth & Sky,15 February 1980,,Graham Nash,,
Skychild,Earth & Sky,15 February 1980,,Graham Nash,,
Barrel of Pain,Earth & Sky,15 February 1980,,Graham Nash,,
TV Guide,Earth & Sky,15 February 1980,,Graham Nash,"Nash, Joe Vitale",
It's All Right,Earth & Sky,15 February 1980,,Graham Nash,,
Magical Child,Earth & Sky,15 February 1980,,Graham Nash,,
See You in Prague,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash","Davitt Sigerson, Richie Zito",
Keep Away from Me,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Graham Nash,
Innocent Eyes,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Paul Bliss,
Chippin' Away,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Tom Fedora,
Don't Listen to the Rumours,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",John Palermo,
Sad Eyes,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Nash,
Newday,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash","Craig Doerge, Nash",
Glass and Steel,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Nash,
Dirty Little Secret,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Russ Kunkel, Nash",
Blizzard of Lies,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",,
Lost Another One,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",,
The Chelsea Hotel,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",,
I'll Be There for You,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Doug Ingoldsby, Nash, Joe Vitale",
Nothing in the World,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",,
Where Love Lies Tonight,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Nash, Vitale",
Pavanne,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Richard Thompson, Linda Thompson",
Liar's Nightmare,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Nash, Jean Ritchie",
This Path Tonight,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Myself at Last,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Cracks in the City,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Beneath the Waves,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Fire Down Below,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Another Broken Heart,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Target,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Golden Days,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Back Home,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Encore,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Mississippi Burning,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Watch Out for the Wind,This Path Tonight,15 April 2016,,"Shane Fontayne, [1]",,
Right Now,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
A Better Life,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
Golden Idols,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
Stars & Stripes,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
Love of Mine,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
Theme from Pastoral,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
In a Dream,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
Stand Up,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
It Feels Like Home,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
Buddy's Back,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
Follow Your Heart,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
I Watched It All Come Down,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
When It Comes to You,Now,19 May 2023(2023-05-19),2020–2022,Graham NashTodd Caldwell,,
Marrakesh Express,Over the Years,2018,,Graham Nash,,
Military Madness,Over the Years,2018,,Graham Nash,,
Immigration Man,Over the Years,2018,,Graham Nash,,
Just a Song Before I Go,Over the Years,2018,,Graham Nash,,
I Used to Be a King,Over the Years,2018,,Graham Nash,,
Better Days,Over the Years,2018,,Graham Nash,,
Simple Man,Over the Years,2018,,Graham Nash,,
Teach Your Children,Over the Years,2018,,Graham Nash,,
Lady of the Island,Over the Years,2018,,Graham Nash,,
Wind on the Water,Over the Years,2018,,Graham Nash,,
Our House,Over the Years,2018,,Graham Nash,,
Cathedral,Over the Years,2018,,Graham Nash,,
Wasted on the Way,Over the Years,2018,,Graham Nash,,
Chicago / We Can Change the World,Over the Years,2018,,Graham Nash,,
"Marrakesh Express (London, 1968)",Over the Years,2018,,Graham Nash,,
"Horses Through a Rainstorm (London, 1968)",Over the Years,2018,,Graham Nash,,
"Teach Your Children (Hollywood, 1969)",Over the Years,2018,,Graham Nash,,
"Pre-Road Downs (Hollywood, 1969)",Over the Years,2018,,Graham Nash,,
"Our House (San Francisco, 1969)",Over the Years,2018,,Graham Nash,,
"Right Between the Eyes (San Francisco, 1969)",Over the Years,2018,,Graham Nash,,
"Sleep Song (San Francisco, 1969)",Over the Years,2018,,Graham Nash,,
"Chicago (Hollywood, 1970)",Over the Years,2018,,Graham Nash,,
"Man in the Mirror (Hollywood, 1970)",Over the Years,2018,,Graham Nash,,
"Simple Man (Hollywood, 1970)",Over the Years,2018,,Graham Nash,,
"I Miss You (San Francisco, 1972)",Over the Years,2018,,Graham Nash,,
"You'll Never Be the Same (San Francisco, 1972)",Over the Years,2018,,Graham Nash,,
"Wind on the Water (San Francisco, 1975)",Over the Years,2018,,Graham Nash,,
"Just a Song Before I Go (San Francisco, 1976)",Over the Years,2018,,Graham Nash,,
