track,album,release_date,recording_period,producers,writers,vocals
Horses Through a Rainstorm,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
30 Dollar Fine,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Ivory Tower,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Same Old Song,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Hold On Tight / Change Partners,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Laughing,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Carry On (Early Alternate Mix),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Teach Your Children (Early Version),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Almost Cut My Hair (Early Version),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Helpless (with harmonica),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Young,
Woodstock (Alternate),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Mitchell,
Déjà Vu (Early Alternate Mix),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Our House (Early Version),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
4 + 20 (Alternate),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Shadow Captain,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert","David Crosby, Craig Doerge","Crosby, Stills & Nash"
See the Changes,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills with Crosby & Nash
Carried Away,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Graham Nash,Nash with Crosby
Fair Game,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills with Crosby & Nash
Anything at All,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",David Crosby,Crosby
Dark Star,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills
Just a Song Before I Go,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Graham Nash,Nash
Run from Tears,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills
Cold Rain,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Graham Nash,Nash
In My Dreams,CSN,"June 17, 1977",1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",David Crosby,Crosby
Turn Your Back on Love,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Graham Nash, Michael Stergis",
Wasted on the Way,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,
Southern Cross,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Richard Curtis, Michael Curtis",
Into the Darkness,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,
Since I Met You,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Michael Stergis",
Too Much Love to Hide,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Gerry Tolman",
Song for Susan,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,
You Are Alive,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Michael Stergis",
Might As Well Have a Good Time,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Judy Henske, Craig Doerge",
Raise a Voice,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Graham Nash, Stephen Stills",
Feel Your Love,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Graham Nash",
Tomorrow Is Another Day,Daylight Again,"June 21, 1982(U.S.)",1980–1981,"David Crosby, Stephen Stills, Graham Nash",Stephen Stills,
American Dream,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Neil Young,
Got It Made,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stephen Stills, Young",
Name of Love,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,
Don't Say Goodbye,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Graham Nash, Joe Vitale",
This Old House,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,
Nighttime for the Generals,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","David Crosby, Craig Doerge",
Shadowland,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Nash, Rick Ryan, Vitale",
Drivin' Thunder,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Young",
Clear Blue Skies,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Nash,
That Girl,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Vitale, Bob Glaub",
Compass,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Crosby,
Soldiers of Peace,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Nash, Doerge, Vitale",
Feel Your Love,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,
Night Song,American Dream,"November 1, 1988","April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Young",
Live It Up,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,Joe Vitale,Nash
If Anybody Had a Heart,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,"John David Souther, Danny Kortchmar",Nash
Tomboy,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,Stephen Stills,Stills
Haven't We Lost Enough?,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,"Stills, Kevin Cronin",Stills with Crosby & Nash
(Got to Keep) Open,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,"Stills, Nash",Stills
Straight Line,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,Tony Beard,Nash
House of Broken Dreams,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,Nash,Nash
Arrows,Live It Up,"June 26, 1990","February 1, 1986 – February 5, 1990",Joe Vitale,"Michael Hedges, Crosby",Crosby
Only Waiting for You,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Stephen Stills,Stills
Find a Dream,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Graham Nash,Nash
Camera,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,"David Crosby, Stills",Crosby
Unequal Love,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Nash,Nash
Till It Shines,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Crosby,Crosby
It Won't Go Away,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Stills,Stills with Crosby
These Empty Days,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,"Nash, Crosby",Stills with Crosby & Nash
In My Life,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,"John Lennon, Paul McCartney","Crosby, Stills & Nash"
Street to Lean On,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Crosby,Crosby
Bad Boyz,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Stills,Stills
After the Storm,After the Storm,"August 16, 1994","January 27 – July 1, 1994",Glyn Johns,Nash,Nash
Faith in Me,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith","Stephen Stills, Joe Vitale",Stills
Looking Forward,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Neil Young,"Young with Crosby, Stills & Nash"
Stand and Be Counted,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith","David Crosby, James Raymond",Crosby
Heartland,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Graham Nash,Nash
Seen Enough,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Stills,Stills
Slowpoke,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Young,Young
Dream for Him,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Crosby,Crosby
No Tears Left,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Stills,Stills
Out of Control,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Young,Young
Someday Soon,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Nash,Nash with Crosby & Stills
Queen of Them All,Looking Forward,"October 26, 1999","November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Young,Young
