track,album,release_date,recording_period,producers,writers,vocals
Look in Their Eyes,Lighthouse,"October 21, 2016",February 2016[1],"Michael League, Fab Dupont","David Crosby, Michael League",
Somebody Other Than You,Lighthouse,"October 21, 2016",February 2016[1],"Michael League, Fab Dupont","David Crosby, Michael League",
The City,Lighthouse,"October 21, 2016",February 2016[1],"Michael League, Fab Dupont","David Crosby, Michael League",
Paint You a Picture,Lighthouse,"October 21, 2016",February 2016[1],"Michael League, Fab Dupont","David Crosby, Marc Cohn",
What Makes It So,Lighthouse,"October 21, 2016",February 2016[1],"Michael League, Fab Dupont",David Crosby,
She's Got To Be Somewhere,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,James Raymond,
Sky Trails,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,"David Crosby, Becca Stevens",
Sell Me a Diamond,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,"David Crosby, James Raymond",
Before Tomorrow Falls on Love,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,"David Crosby, Michael McDonald",
Here It's Almost Sunset,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,"David Crosby, Mai Agan",
Capitol,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,"David Crosby, James Raymond",
Amelia,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,Joni Mitchell,
Somebody Home,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,David Crosby,
Curved Air,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,"David Crosby, James Raymond",
Home Free,Sky Trails,"September 29, 2017",February–June 2017,James Raymond,"David Crosby, James Raymond",
Glory,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
Vagrants of Venice,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
1974,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
Your Own Ride,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
Buddha on a Hill,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
I Am No Artist,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
1967,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
Balanced on a Pin,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
Other Half Rule,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
Janet,Here If You Listen,"October 26, 2018",March–July 2018,Fab Dupont,,
River Rise (featuringMichael McDonald),For Free,"July 23, 2021",August–December 2020,James Raymond,"David Crosby, James Raymond, Michael McDonald",
I Think I,For Free,"July 23, 2021",August–December 2020,James Raymond,"Crosby, Raymond, Steve Postell",
The Other Side of Midnight,For Free,"July 23, 2021",August–December 2020,James Raymond,Raymond,
Rodriguez for a Night,For Free,"July 23, 2021",August–December 2020,James Raymond,"Crosby, Donald Fagen, Raymond",
Secret Dancer,For Free,"July 23, 2021",August–December 2020,James Raymond,"Crosby, Raymond",
Ships in the Night,For Free,"July 23, 2021",August–December 2020,James Raymond,Crosby,
For Free (featuringSarah Jarosz),For Free,"July 23, 2021",August–December 2020,James Raymond,Joni Mitchell,
Boxes,For Free,"July 23, 2021",August–December 2020,James Raymond,Raymond,
Shot at Me,For Free,"July 23, 2021",August–December 2020,James Raymond,"Crosby, Dean Parks",
I Won't Stay for Long,For Free,"July 23, 2021",August–December 2020,James Raymond,Raymond,
