track,album,release_date,recording_period,producers,writers,vocals
Changes,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Phil Ochs,
Girl from the North Country,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Bob Dylan,
Needle of Death,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Bert Jansch,
Early Morning Rain,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Gordon Lightfoot,
Crazy,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Willie Nelson,
Reason to Believe,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Tim Hardin,
On the Road Again,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Willie Nelson,
If You Could Read My Mind,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Gordon Lightfoot,
Since I Met You Baby,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Ivory Joe Hunter,
My Hometown,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Bruce Springsteen,
Blowin' in the Wind,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",Bob Dylan,
Plastic Flowers (Orchestral),Storytone,"November 4, 2014(2014-11-04)",June 2014 (solo versions)August 2014 (orchestral/big band versions),"Niko Bolas, [1]",,
