track,album,release_date,recording_period,producers,writers,vocals
Shadow Captain,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert","David Crosby, Craig Doerge","Crosby, Stills & Nash"
See the Changes,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,"Stills, Crosby & Nash"
Carried Away,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Graham Nash,"Nash, Crosby"
Fair Game,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,"Stills, Crosby & Nash"
Anything at All,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",David Crosby,Crosby
Dark Star,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills
Just a Song Before I Go,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Graham Nash,Nash
Run from Tears,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Stephen Stills,Stills
Cold Rain,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",Graham Nash,Nash
In My Dreams,CSN,1977-17-06,1976–1977,"David Crosby, Stephen Stills, Graham Nash, Ron Albert and Howard Albert",David Crosby,Crosby
Turn Your Back on Love,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Graham Nash, Michael Stergis",
Wasted on the Way,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,
Southern Cross,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Richard Curtis, Michael Curtis",
Into the Darkness,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,
Since I Met You,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Michael Stergis",
Too Much Love to Hide,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Gerry Tolman",
Song for Susan,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash",Graham Nash,
You Are Alive,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Michael Stergis",
Might As Well Have a Good Time,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Judy Henske, Craig Doerge",
Raise a Voice,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Graham Nash, Stephen Stills",
Feel Your Love,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash","Stephen Stills, Graham Nash",
Tomorrow Is Another Day,Daylight Again,1982-21-06,1980–1981,"David Crosby, Stephen Stills, Graham Nash",Stephen Stills,
American Dream,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Neil Young,
Got It Made,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stephen Stills, Young",
Name of Love,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,
Don't Say Goodbye,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Graham Nash, Joe Vitale",
This Old House,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Young,
Nighttime for the Generals,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","David Crosby, Craig Doerge",
Shadowland,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Nash, Rick Ryan, Vitale",
Drivin' Thunder,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Young",
Clear Blue Skies,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Nash,
That Girl,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Vitale, Bob Glaub",
Compass,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Crosby,
Soldiers of Peace,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Nash, Doerge, Vitale",
Night Song,American Dream,1988-01-11,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young","Stills, Young",
Live It Up,Live It Up,1990-26-06,"February 1, 1986 – February 5, 1990",Joe Vitale,Joe Vitale,Nash
If Anybody Had a Heart,Live It Up,1990-26-06,"February 1, 1986 – February 5, 1990",Joe Vitale,"John David Souther, Danny Kortchmar",Nash
Tomboy,Live It Up,1990-26-06,"February 1, 1986 – February 5, 1990",Joe Vitale,Stephen Stills,Stills
Haven't We Lost Enough?,Live It Up,1990-26-06,"February 1, 1986 – February 5, 1990",Joe Vitale,"Stills, Kevin Cronin","Stills, Crosby & Nash"
(Got to Keep) Open,Live It Up,1990-26-06,"February 1, 1986 – February 5, 1990",Joe Vitale,"Stills, Nash",Stills
Straight Line,Live It Up,1990-26-06,"February 1, 1986 – February 5, 1990",Joe Vitale,Tony Beard,Nash
House of Broken Dreams,Live It Up,1990-26-06,"February 1, 1986 – February 5, 1990",Joe Vitale,Nash,Nash
Arrows,Live It Up,1990-26-06,"February 1, 1986 – February 5, 1990",Joe Vitale,"Michael Hedges, Crosby",Crosby
Only Waiting for You,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Stephen Stills,Stills
Find a Dream,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Graham Nash,Nash
Camera,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,"David Crosby, Stills",Crosby
Unequal Love,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Nash,Nash
Till It Shines,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Crosby,Crosby
It Won't Go Away,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Stills,"Stills, Crosby"
These Empty Days,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,"Nash, Crosby","Stills, Crosby & Nash"
In My Life,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,"John Lennon, Paul McCartney","Crosby, Stills & Nash"
Street to Lean On,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Crosby,Crosby
Bad Boyz,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Stills,Stills
After the Storm,After the Storm,1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Nash,Nash
Faith in Me,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith","Stephen Stills, Joe Vitale",Stills
Looking Forward,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Neil Young,"Young, Crosby, Stills & Nash"
Stand and Be Counted,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith","David Crosby, James Raymond",Crosby
Heartland,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Graham Nash,Nash
Seen Enough,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Stills,Stills
Slowpoke,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Young,Young
Dream for Him,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Crosby,Crosby
No Tears Left,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Stills,Stills
Out of Control,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Young,Young
Someday Soon,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Nash,"Nash, Crosby & Stills"
Queen of Them All,Looking Forward,1999-26-10,"November 3, 1996 – July 21, 1999","Crosby, Stills, Nash & Young, Joe Vitale, Ben Keith",Young,Young
