track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Treetop Flyer,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Wounded World,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,"Graham Nash, Stills, Rocke Grace, Kenny Passarelli, Joe Vitale, Joe Walsh","Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Wrong Thing to Do,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Tom Petty,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Acadienne,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,Stephen Stills,"Stephen Stills, Mike Finnigan, Graham Nash"
Ain't It Always,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,Stephen Stills,"Stephen Stills, Mike Finnigan, George ""Chocolate"" Perry, Joe Vitale"
Around Us,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,"Joe Vitale, Stills","Stephen Stills, Dorian Holley, Mortonette Jenkins, Marlena Jeter"
Different Man,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,,"Stephen Stills, Neil Young"
Drivin' Thunder,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,"Stills, Neil Young",Stephen Stills
Feed the People,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,Stephen Stills,"Stephen Stills, Mike Finnigan, Dorian Holley, Brooks Hunnicutt, Mortonette Jenkins, Marlena Jeter, Graham Nash"
Hearts Gate,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,Stephen Stills,Stephen Stills
I Don't Get It,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,Stephen Stills,"Stephen Stills, Dorian Holley, Mortonette Jenkins, Marlena Jeter, Jennifer Stills"
Ole Man Trouble,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,Booker T. Jones,"Stephen Stills, Dorian Holley, Mortonette Jenkins, Marlena Jeter"
Piece of Me,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,Stephen Stills,Stephen Stills
Round the Bend,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,Stephen Stills,Stephen Stills
Spanish Suite,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,Stephen Stills,"Stephen Stills, Mike Finnigan, Brooks Hunnicutt"
Wounded World,Man Alive!,studio,Stephen Stills,9/8/2005,1970–2005,Joe Vitale,"Stills, Graham Nash","Stephen Stills, Dorian Holley, Mortonette Jenkins, Marlena Jeter, Graham Nash"
50/50,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,"Joe Lala, Stills","Stephen Stills, Mike Finnigan, Graham Nash, John Sambarato"
Can't Let Go,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,"Joe Esposito, Ali Willis","Stephen Stills, Mike Finnigan"
Flaming Heart,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,Ray Arnott,Stephen Stills
Grey to Green,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,"Stills, James Newton Howard","Stephen Stills, Mike Finnigan, Graham Nash"
Love Again,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,Stephen Stills,"Stephen Stills, Mike Finnigan"
No Hiding Place,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,"Louise Cirtain, Gladys Stacey, A. P. Carter, additional lyrics Stephen Stills","Stephen Stills, Mike Finnigan, Bernie Leadon, Herb Pedersen, Chris Hillman, Graham Nash"
No Problem,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,Stephen Stills,"Stephen Stills, Mike Finnigan"
Only Love Can Break Your Heart,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,"Neil Young, additional lyrics Stephen Stills","Stephen Stills, Mike Finnigan, Graham Nash"
Right by You,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,Stephen Stills,Stephen Stills
Stranger,Right By You,studio,Stephen Stills,1984-30-07,,The Albert Brothers,"Stills, Christopher Stills","Stephen Stills, Mike Finnigan, Graham Nash, John Sambarato"
Black Queen,Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Cherokee,Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Church (Part of Someone),Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,"Stephen Stills, Judith Powell, Larry Steele, Liza Strike, Tony Wilson"
Do for the Others,Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Go Back Home,Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,"Stephen Stills, David Crosby, Rita Coolidge, Priscilla Jones, John Sebastion, Cass Elliot, Claudia Lennear"
Love the One You're With,Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,"Stephen Stills, Rita Coolidge, Graham Nash"
Old Times Good Times,Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Sit Yourself Down,Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,"Stephen Stills, Rita Coolidge, Priscilla Jones, John Sebastion, Cass Elliot, Claudia Lennear"
To a Flame,Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
We Are Not Helpless,Stephen Stills,studio,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,"Stephen Stills, Stephen Stills, David Crosby, Rita Coolidge, Priscilla Jones, John Sebastion, Cass Elliot, Claudia Lennear, Sherlie Matthews"
Bluebird Revisited,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Change Partners,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Ecology Song,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Fishes and Scorpions,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Know You Got to Run,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,"Stephen Stills, John Hopkins",Stephen Stills
Marianne,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Nothin' to Do but Today,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Open Secret,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Relaxing Town,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Singin' Call,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Sugar Babe,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Word Game,Stephen Stills 2,studio,Stephen Stills,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
As I Come of Age,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,"Stephen Stills, David Crosby, Graham Nash"
Cold Cold World,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Dacus, Stills","Stephen Stills, Donnie Dacus, Betty Wright"
First Things First,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Joe Schermie, Jon Smith, Stills","Stephen Stills, Kenny Passarelli, David Crosby, Graham Nash"
In The Way,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,"Stephen Stills, Donnie Dacus, Kenny Passarelli"
Love Story,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,"Stephen Stills, Donnie Dacus, Kenny Passarelli, Rick Roberts"
My Angel,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Stills, Dallas Taylor",Stephen Stills
My Favorite Changes,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,"Stephen Stills, Danny Hutton, Kenny Passarelli, Peggy Clinger"
Myth of Sisyphus,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Kenny Passarelli, Stills","Stephen Stills, Donnie Dacus, Claudia Lennear"
New Mama,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Neil Young,"Stephen Stills, Donnie Dacus, Rick Roberts"
Shuffle Just As Bad,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,"Stephen Stills, Kenny Passarelli"
To Mama From Christopher And The Old Man,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
Turn Back the Pages,Stills,studio,Stephen Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Donnie Dacus, Stills","Stephen Stills, Donnie Dacus, Marcy Levy"
Amazonia,Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,Stephen Stills,Stephen Stills
Ballad of Hollis Brown,Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,Bob Dylan,Stephen Stills
Blind Fiddler Medley,Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,Stephen Stills,Stephen Stills
Everybody's Talkin',Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,Fred Neil,Stephen Stills
In My Life,Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,"John Lennon, Paul McCartney",Stephen Stills
Isn't It So,Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,Stephen Stills,Stephen Stills
Just Isn't Like You,Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,Stephen Stills,Stephen Stills
Singin' Call,Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,Stephen Stills,Stephen Stills
The Right Girl,Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,Stephen Stills,Stephen Stills
Treetop Flyer,Stills Alone,studio,Stephen Stills,11/9/1991,,The Albert Brothers,Stephen Stills,Stephen Stills
Albert's Shuffle,Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,"Al Kooper, Mike Bloomfield",Al Kooper
Blues for Nothing (outtake),Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,Kooper,Al Kooper
Fat Grey Cloud,Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,"Kooper, Bloomfield",Al Kooper
Harvey's Tune,Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,Harvey Brooks,Al Kooper
His Holy Modal Majesty,Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,"Kooper, Bloomfield",Al Kooper
"It Takes a Lot to Laugh, It Takes a Train to Cry",Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,Bob Dylan,Al Kooper
Man's Temptation,Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,Curtis Mayfield,Al Kooper
Really,Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,"Kooper, Bloomfield",Al Kooper
Season of the Witch,Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,Donovan Leitch,Al Kooper
Stop,Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,"Jerry Ragovoy, Mort Shuman",Al Kooper
You Don't Love Me,Super Session,studio,Stephen Stills,1968-22-07,May-68,Al Kooper,Willie Cobbs,Al Kooper
Beaucoup Yumbo,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,"Stills, Joe Vitale",Stephen Stills
Can't Get No Booty,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,"Danny Kortchmar, Stills","Stephen Stills, Danny Kortchmar"
Lowdown,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,Stephen Stills,"Stephen Stills, Mike Finnigan, George Perry, Brooks Hunnicutt, Kitty Pritikin, Verna Richardson, Lisa Roberts"
Midnight Rider,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,Gregg Allman,"Stephen Stills, Dave Mason"
Not Fade Away,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,"Buddy Holly, Norman Petty","Stephen Stills, George Perry, Joe Vitale"
Thoroughfare Gap,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,Stephen Stills,Stephen Stills
We Will Go On,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,Stephen Stills,"Stephen Stills, John Sambarato"
What's the Game,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,Stephen Stills,"Stephen Stills, Andy Gibb, Dave Mason, John Sambarato"
Woman Lleva,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,Stephen Stills,Stephen Stills
You Can't Dance Alone,Thoroughfare Gap,studio,Stephen Stills,1978-31-10,Jun-78,The Albert Brothers,Stephen Stills,"Stephen Stills, Andy Gibb, Dave Mason, John Sambarato"
