track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Columbus,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Noel Brazil,David Crosby
Coverage,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Bonnie Hayes,"David Crosby, Kipp Lennon"
Helpless Heart,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Paul Brady,"David Crosby, Kipp Lennon"
Hero,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone","Phil Collins, David Crosby","David Crosby, Phil Collins"
Natalie,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Stephen Bishop,"David Crosby, Kipp Lennon, Stephen Bishop"
Old Soldier,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Marc Cohn,"David Crosby, Graham Nash"
Thousand Roads,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",David Crosby,David Crosby
Through Your Hands,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",John Hiatt,"David Crosby, Kipp Lennon"
Too Young to Die,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Jimmy Webb,"David Crosby, Jackson Browne, Graham Nash"
Yvette in English,Thousand Roads,studio,David Crosby,4/5/1993,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone","Joni Mitchell, David Crosby",David Crosby
