track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
How Does It Shine?,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Crosby,Crosby & Nash
I Surrender,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Marc Cohn,Crosby & Nash
Jesus of Rio,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Graham Nash, Jeff Pevar",Crosby & Nash
Lay Me Down,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",James Raymond,Crosby & Nash
Live on (the Wall),Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Patrick Flannery, Nash, Steve Plunkett, Spencer Proffer",Crosby & Nash
Luck Dragon,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Raymond, Crosby",Crosby & Nash
Michael (Hedges Here),Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,Crosby & Nash
Milky Way Tonight,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,Crosby & Nash
My Country Tis of Thee,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",,Crosby & Nash
On the Other Side of Town,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,Crosby & Nash
Penguin in a Palm Tree,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,Crosby & Nash
Puppeteer,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Raymond,Crosby & Nash
Samurai,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Crosby,Crosby & Nash
Shining on Your Dreams,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Nash, Kunkel",Crosby & Nash
They Want It All,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Crosby,Crosby & Nash
Through Here Quite Often,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","David Crosby, Dean Parks",Crosby & Nash
Blacknotes,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Nash,Nash
Frozen Smiles,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Nash,Crosby & Nash
Games,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Crosby,Crosby
Girl to Be on My Mind,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Nash,Crosby & Nash
Immigration Man,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Nash,Crosby & Nash
Page 43,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Crosby,Crosby & Nash
Southbound Train,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Graham Nash,Crosby & Nash
Strangers Room,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Nash,Crosby & Nash
The Wall Song,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Crosby,Crosby & Nash
Where Will I Be?,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,Crosby,Crosby
Whole Cloth,Graham Nash & David Crosby,studio,Graham Nash,5/4/1972,1972,Bill Halverson,David Crosby,Crosby & Nash
Broken Bird,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard","David Crosby, Nash",Crosby & Nash
Dancer,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,Crosby & Nash
Foolish Man,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,Crosby & Nash
J.B.'s Blues,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Nash,Crosby & Nash
Marguerita,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Nash,Crosby & Nash
Mutiny,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Nash,Crosby & Nash
Out Of The Darkness,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash, Craig Doerge",Crosby & Nash
Spotlight,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard","Graham Nash, Danny Kortchmar",Crosby & Nash
Taken At All,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash",Crosby & Nash
Time After Time,Whistling Down the Wire,studio,David Crosby,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,Crosby & Nash
Bittersweet,Wind on the Water,studio,David Crosby,1975-15-11,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,"Graham Nash, Jackson Browne"
Carry Me,Wind on the Water,studio,David Crosby,1975-15-09,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,"David Crosby, James Taylor"
Cowboy of Dreams,Wind on the Water,studio,David Crosby,1975-15-16,,"David Crosby, Graham Nash, Stephen Barncard",Nash,"Graham Nash, David Lindley"
Critical Mass,Wind on the Water,studio,David Crosby,1975-15-20,,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash",David Crosby
Fieldworker,Wind on the Water,studio,David Crosby,1975-15-18,,"David Crosby, Graham Nash, Stephen Barncard",Nash,"David Crosby, Graham Nash, Levon Helm"
Homeward Through the Haze,Wind on the Water,studio,David Crosby,1975-15-17,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,"Graham Nash, Carole King"
Love Work Out,Wind on the Water,studio,David Crosby,1975-15-14,,"David Crosby, Graham Nash, Stephen Barncard",Nash,"Graham Nash, Jackson Browne"
Low Down Payment,Wind on the Water,studio,David Crosby,1975-15-15,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,"David Crosby, Graham Nash"
Mama Lion,Wind on the Water,studio,David Crosby,1975-15-10,,"David Crosby, Graham Nash, Stephen Barncard",Nash,"David Crosby, Graham Nash"
Naked In The Rain,Wind on the Water,studio,David Crosby,1975-15-13,,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash","David Crosby, Graham Nash"
Take The Money And Run,Wind on the Water,studio,David Crosby,1975-15-12,,"David Crosby, Graham Nash, Stephen Barncard",Nash,"David Crosby, Graham Nash"
To the Last Whale,Wind on the Water,studio,David Crosby,1975-15-19,,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash","David Crosby, Graham Nash"
Wind on the Water,Wind on the Water,studio,David Crosby,1975-15-21,,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash",Graham Nash
