track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers
Capitol,Sky Trails,studio,David Crosby,50:29:00,,," Groove Masters Studios, Santa Monica Rumor Mill Recording, Santa Ynez The Bamboom Room, Altadena ",Folk,"Contemporary Singer/Songwriter, Folk-Pop","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",Folk,"Contemporary Singer/Songwriter, Folk Jazz",,,"David Crosby, James Raymond"
Columbus,Thousand Roads,studio,David Crosby,47:20:00,,," Fisher Land Farm Studio, England Groove Masters Studio, Santa Monica, CA Ocean Way Recording Studios, Hollywood, CA ",Pop/Rock,Contemporary Pop/Rock,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon","Folk, Pop/Rock","Folk-Pop, Singer/Songwriter","Calm/Peaceful, Dreamy, Nostalgic, Restrained, Sentimental",,Noel Brazil
Coverage,Thousand Roads,studio,David Crosby,47:20:00,,," Fisher Land Farm Studio, England Groove Masters Studio, Santa Monica, CA Ocean Way Recording Studios, Hollywood, CA ",Pop/Rock,Contemporary Pop/Rock,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Lively, Optimistic, Restrained",,Bonnie Hayes
Cowboy Movie,If I Could Only Remember My Name,studio,David Crosby,37:54:00,,,"Wally Heider Studio, San Francisco, CA",Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock","Atmospheric, Autumnal, Bittersweet, Calm/Peaceful, Gentle, Intimate, Laid-Back/Mellow, Meandering, Melancholy, Organic, Spacey, Wistful, Earnest, Poignant, Reflective","Introspection, Long Walk, Rainy Day, Sunday Afternoon",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Brooding, Epic",,David Crosby
Curved Air,Sky Trails,studio,David Crosby,50:29:00,,," Groove Masters Studios, Santa Monica Rumor Mill Recording, Santa Ynez The Bamboom Room, Altadena ",Folk,"Contemporary Singer/Songwriter, Folk-Pop","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,"David Crosby, James Raymond"
Dangerous Night,Croz,studio,David Crosby,47:03:00,,," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",,,,,"David Crosby, James Raymond"
Distances,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",,,,,David Crosby
Drive My Car,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",Pop/Rock,Rock & Roll,,,David Crosby
Drive Out to the Desert,Lighthouse,studio,David Crosby,40:40:00,,,"Groove Masters Studios, Santa Monica, CA",Pop/Rock,"Contemporary Singer/Songwriter, Adult Alternative Pop/Rock, Contemporary Pop/Rock","Earnest, Poignant, Refined, Relaxed, Bittersweet, Intimate, Reflective, Brooding, Laid-Back/Mellow, Literate, Searching, Self-Conscious","Autumn, Early Morning, Introspection, Reflection, Solitude, Sunday Afternoon",,,,,David Crosby
Drop Down Mama,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",,,,,David Crosby
Deja Vu,It's All Coming Back to Me Now,live,David Crosby,1:00:35,,7-Oct-93,"Whisky a Go Go, Hollywood, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,Pop/Rock,"Folk-Rock, Psychedelic/Garage, Singer/Songwriter, Soft Rock, Contemporary Pop/Rock, Album Rock","Laid-Back/Mellow, Organic, Reflective, Searching, Soothing, Sweet, Warm, Wistful, Light, Bright","Comfort, Day Driving, Hanging Out, Introspection, Reflection, Relaxation, Reminiscing",David Crosby
Fieldworker,Live,live,David Crosby,51:36:00,1977-11,"September 7, 1975 - September 11, 1976"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Album Rock, Singer/Songwriter, Soft Rock, Folk-Rock, Psychedelic/Garage","Organic, Rebellious",,Graham Nash
Find a Heart,Croz,studio,David Crosby,47:03:00,,," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",,,,,"David Crosby, Marcus Eaton, James Raymond"
Flying Man,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",,,,,"David Crosby, Craig Doerge"
Foolish Man,Live,live,David Crosby,51:36:00,1977-11,"September 7, 1975 - September 11, 1976"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Folk-Rock, Psychedelic/Garage",,,David Crosby
For Free,For Free,studio,David Crosby,37:29:00,,," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ","Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,Joni Mitchell
Glory,Here If You Listen,studio,David Crosby,45:08:00,,2018,"Flux Studios, New York","Pop/Rock, Folk","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,"David Crosby, Michael League, Becca Stevens, Michelle Willis"
Helpless Heart,Thousand Roads,studio,David Crosby,47:20:00,,," Fisher Land Farm Studio, England Groove Masters Studio, Santa Monica, CA Ocean Way Recording Studios, Hollywood, CA ",Pop/Rock,Contemporary Pop/Rock,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Pop/Rock,Singer/Songwriter,"Calm/Peaceful, Dreamy, Restrained, Sentimental, Yearning",,Paul Brady
Here It's Almost Sunset,Sky Trails,studio,David Crosby,50:29:00,,," Groove Masters Studios, Santa Monica Rumor Mill Recording, Santa Ynez The Bamboom Room, Altadena ",Folk,"Contemporary Singer/Songwriter, Folk-Pop","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,"Mai Agan, David Crosby"
Hero,Thousand Roads,studio,David Crosby,47:20:00,,," Fisher Land Farm Studio, England Groove Masters Studio, Santa Monica, CA Ocean Way Recording Studios, Hollywood, CA ",Pop/Rock,Contemporary Pop/Rock,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Pop/Rock,Singer/Songwriter,Laid-Back/Mellow,,"Phil Collins, David Crosby"
Holding on to Nothing,Croz,studio,David Crosby,47:03:00,,," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",,,,,"David Crosby, Sterling Price"
Home Free,Sky Trails,studio,David Crosby,50:29:00,,," Groove Masters Studios, Santa Monica Rumor Mill Recording, Santa Ynez The Bamboom Room, Altadena ",Folk,"Contemporary Singer/Songwriter, Folk-Pop","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,"David Crosby, James Raymond"
I Am No Artist,Here If You Listen,studio,David Crosby,45:08:00,,2018,"Flux Studios, New York","Pop/Rock, Folk","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,"Jane Tyson Clement, Becca Stevens"
I Think I,For Free,studio,David Crosby,37:29:00,,," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ","Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,"David Crosby, Steve Postell, James Raymond"
I Used to Be a King,Live,live,David Crosby,51:36:00,1977-11,"September 7, 1975 - September 11, 1976"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Folk-Rock, Psychedelic/Garage",Sentimental,,Graham Nash
I Won't Stay for Long,For Free,studio,David Crosby,37:29:00,,," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ","Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,James Raymond
I'd Swear There Was Somebody Here,If I Could Only Remember My Name,studio,David Crosby,37:54:00,,,"Wally Heider Studio, San Francisco, CA",Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock","Atmospheric, Autumnal, Bittersweet, Calm/Peaceful, Gentle, Intimate, Laid-Back/Mellow, Meandering, Melancholy, Organic, Spacey, Wistful, Earnest, Poignant, Reflective","Introspection, Long Walk, Rainy Day, Sunday Afternoon",Pop/Rock,"Folk-Rock, Psychedelic/Garage, Contemporary Pop/Rock","Yearning, Dreamy, Quirky","Feeling Blue, Loss/Grief",David Crosby
If She Called,Croz,studio,David Crosby,47:03:00,,," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",,,,,David Crosby
Immigration Man,Live,live,David Crosby,51:36:00,1977-11,"September 7, 1975 - September 11, 1976"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Folk-Rock, Psychedelic/Garage",,,Graham Nash
In My Dreams,It's All Coming Back to Me Now,live,David Crosby,1:00:35,,7-Oct-93,"Whisky a Go Go, Hollywood, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,,,David Crosby
In the Wide Ruin,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",,,,,"Craig Doerge, Judy Henske"
Janet,Here If You Listen,studio,David Crosby,45:08:00,,2018,"Flux Studios, New York","Pop/Rock, Folk","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,Michelle Willis
King of the Mountain,Live,live,David Crosby,51:36:00,1977-11,"September 7, 1975 - September 11, 1976"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",,,,,David Crosby
Lady of the Harbor,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",,,,,"David Crosby, Craig Doerge"
Laughing,If I Could Only Remember My Name,studio,David Crosby,37:54:00,,,"Wally Heider Studio, San Francisco, CA",Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock","Atmospheric, Autumnal, Bittersweet, Calm/Peaceful, Gentle, Intimate, Laid-Back/Mellow, Meandering, Melancholy, Organic, Spacey, Wistful, Earnest, Poignant, Reflective","Introspection, Long Walk, Rainy Day, Sunday Afternoon",Pop/Rock,Contemporary Pop/Rock,"Brooding, Calm/Peaceful, Dreamy, Relaxed",,David Crosby
Lee Shore,Live,live,David Crosby,51:36:00,1977-11,"September 7, 1975 - September 11, 1976"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Folk-Rock, Psychedelic/Garage",Yearning,,David Crosby
Long Time Gone,It's All Coming Back to Me Now,live,David Crosby,1:00:35,,7-Oct-93,"Whisky a Go Go, Hollywood, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,"Angry, Passionate, Sentimental",,"David Crosby, Frank Hartford, Tex Ritter"
Look in Their Eyes,Lighthouse,studio,David Crosby,40:40:00,,,"Groove Masters Studios, Santa Monica, CA",Pop/Rock,"Contemporary Singer/Songwriter, Adult Alternative Pop/Rock, Contemporary Pop/Rock","Earnest, Poignant, Refined, Relaxed, Bittersweet, Intimate, Reflective, Brooding, Laid-Back/Mellow, Literate, Searching, Self-Conscious","Autumn, Early Morning, Introspection, Reflection, Solitude, Sunday Afternoon",,,,,"David Crosby, Michael League"
Mama Lion,Live,live,David Crosby,51:36:00,1977-11,"September 7, 1975 - September 11, 1976"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Album Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter, Soft Rock",Organic,,David Crosby
Melody,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",,,,,"David Crosby, Craig Doerge"
Monkey and the Underdog,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",,,,,"David Crosby, Craig Doerge"
Morning Falling,Croz,studio,David Crosby,47:03:00,,," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",,,,,"David Crosby, James Raymond"
Music Is Love,If I Could Only Remember My Name,studio,David Crosby,37:54:00,,,"Wally Heider Studio, San Francisco, CA",Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock","Atmospheric, Autumnal, Bittersweet, Calm/Peaceful, Gentle, Intimate, Laid-Back/Mellow, Meandering, Melancholy, Organic, Spacey, Wistful, Earnest, Poignant, Reflective","Introspection, Long Walk, Rainy Day, Sunday Afternoon","Folk, Pop/Rock",Singer/Songwriter,"Sentimental, Optimistic","Celebration, In Love","David Crosby, Graham Nash, Neil Young"
My Country 'Tis of Thee,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",,,,,Traditional
Natalie,Thousand Roads,studio,David Crosby,47:20:00,,," Fisher Land Farm Studio, England Groove Masters Studio, Santa Monica, CA Ocean Way Recording Studios, Hollywood, CA ",Pop/Rock,Contemporary Pop/Rock,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Pop/Rock,Singer/Songwriter,"Calm/Peaceful, Dreamy, Nostalgic, Restrained, Sentimental",,Stephen Bishop
Oh Yes I Can,Oh Yes I Can,studio,David Crosby,42:35:00,,,,Pop/Rock,Contemporary Pop/Rock,"Earnest, Intimate, Poignant, Reflective, Bittersweet, Gentle, Plaintive, Wistful","Drugs, Introspection, Passion, Politics/Society, Reflection, Relationships",,,,,"Susanna Clark, David Crosby, John Reid"
Old Soldier,Thousand Roads,studio,David Crosby,47:20:00,,," Fisher Land Farm Studio, England Groove Masters Studio, Santa Monica, CA Ocean Way Recording Studios, Hollywood, CA ",Pop/Rock,Contemporary Pop/Rock,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Pop/Rock,Singer/Songwriter,"Calm/Peaceful, Dreamy, Sentimental, Yearning",,Marc Cohn
Orleans,If I Could Only Remember My Name,studio,David Crosby,37:54:00,,,"Wally Heider Studio, San Francisco, CA",Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock","Atmospheric, Autumnal, Bittersweet, Calm/Peaceful, Gentle, Intimate, Laid-Back/Mellow, Meandering, Melancholy, Organic, Spacey, Wistful, Earnest, Poignant, Reflective","Introspection, Long Walk, Rainy Day, Sunday Afternoon","Pop/Rock, Folk","Folk-Rock, Psychedelic/Garage","Laid-Back/Mellow, Calm/Peaceful, Dreamy, Restrained",,Traditional
Other Half Rule,Here If You Listen,studio,David Crosby,45:08:00,,2018,"Flux Studios, New York","Pop/Rock, Folk","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary","Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",,,,,"David Crosby, Michael League, Becca Stevens, Michelle Willis"
