track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers
Beaucoup Yumbo,Thoroughfare Gap,studio,Stephen Stills,,1978,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Confident, Earthy, Laid-Back/Mellow, Reflective, Romantic, Rousing, Sentimental, Warm, Wistful, Amiable/Good-Natured, Dreamy","Empowerment, Reflection","Stephen Stills, Joe Vitale"
Black Queen,Stephen Stills,studio,Stephen Stills,38:59:00,1970,,"London, England",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Hard Rock, Singer/Songwriter","Confident, Earnest, Earthy, Freewheeling, Gritty, Gutsy, Laid-Back/Mellow, Meandering, Rollicking, Rousing, Swaggering, Yearning, Bravado","Drinking, Empowerment, Feeling Blue",Pop/Rock,"Singer/Songwriter, Soft Rock","Stylish, Warm, Bright, Cheerful, Innocent, Lively, Lush, Pastoral, Sophisticated, Sparkling","Sunday Afternoon, Day Driving, Summer",Stephen Stills
Blind Fiddler Medley: The Blind Fiddler/Do for the Others/Know You Go,Stills Alone,studio,Stephen Stills,30:36:00,,,"Audio Vision Recording Studios, Miami, FL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,,,"Stephen Stills, Traditional"
Bluebird,Live At Shepherd's Bush,live,Stephen Stills,1:19:53,,,,Pop/Rock,"Singer/Songwriter, Album Rock","Reflective, Rousing, Warm, Wistful","Comfort, Relaxation, Reminiscing",,,,,Stephen Stills
Bluebird Revisited,Stephen Stills 2,studio,Stephen Stills,43:02:00,1971,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",,,,,Stephen Stills
Buyin' Time,Illegal Stills,studio,Stephen Stills,35:25:00,1976,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,Pop/Rock,Contemporary Pop/Rock,"Confident, Freewheeling, Gutsy, Meandering, Rollicking, Rousing, Searching, Visceral, Warm, Wistful, Yearning, Amiable/Good-Natured, Carefree","Empowerment, Freedom, Hanging Out, Introspection, Reflection, Road Trip",Stephen Stills
Can't Get No Booty,Thoroughfare Gap,studio,Stephen Stills,,1978,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,Pop/Rock,Contemporary Pop/Rock,"Earthy, Freewheeling, Gritty, Gutsy, Rollicking, Rousing, Searching, Swaggering, Visceral, Warm, Wistful, Yearning, Bravado, Street-Smart","Feeling Blue, Hanging Out, Cool & Cocky","Danny Kortchmar, Stephen Stills"
Can't Let Go,Right By You,studio,Stephen Stills,37:46:00,1984,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,
Change Partners,Stephen Stills 2,studio,Stephen Stills,43:02:00,1971,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Stylish, Warm, Bright, Cheerful, Innocent, Lively, Lush, Pastoral, Sophisticated, Sparkling","Sunday Afternoon, Day Driving, Summer",Stephen Stills
Cherokee,Stephen Stills,studio,Stephen Stills,38:59:00,1970,,"London, England",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Hard Rock, Singer/Songwriter","Confident, Earnest, Earthy, Freewheeling, Gritty, Gutsy, Laid-Back/Mellow, Meandering, Rollicking, Rousing, Swaggering, Yearning, Bravado","Drinking, Empowerment, Feeling Blue",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Rock & Roll, Soul","Energetic, Stylish, Warm, Bright, Cheerful, Fiery, Innocent, Lively, Sophisticated, Sparkling, Freewheeling, Playful","Sunday Afternoon, Day Driving, Summer",Stephen Stills
Church (Part of Someone),Stephen Stills,studio,Stephen Stills,38:59:00,1970,,"London, England",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Hard Rock, Singer/Songwriter","Confident, Earnest, Earthy, Freewheeling, Gritty, Gutsy, Laid-Back/Mellow, Meandering, Rollicking, Rousing, Swaggering, Yearning, Bravado","Drinking, Empowerment, Feeling Blue",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Stylish, Warm, Bright, Cheerful, Innocent, Lively, Sophisticated, Sparkling","Sunday Afternoon, Day Driving, Summer",
Circlin',Illegal Stills,studio,Stephen Stills,35:25:00,1976,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,Pop/Rock,Contemporary Pop/Rock,"Confident, Earnest, Freewheeling, Gritty, Gutsy, Meandering, Rollicking, Rousing, Warm, Wistful, Amiable/Good-Natured","Empowerment, Freedom, Hanging Out, Introspection, Reflection, Road Trip","Kenny Passarelli, Stephen Stills"
Closer to You,Illegal Stills,studio,Stephen Stills,35:25:00,1976,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Earnest, Reflective, Romantic, Searching, Visceral, Warm, Wistful, Yearning, Amiable/Good-Natured, Melancholy","Feeling Blue, Hanging Out, Introspection, Reflection","Donnie Dacus, Warner Schwebke, Stephen Stills"
Cold Cold World,Stills,studio,Stephen Stills,38:19:00,1975-06,," Criteria Studios, Miami, FL Island Studios, London, England Record Plant, Hollywood, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,"Donnie Dacus, Stephen Stills"
Colorado,Bread and Roses Festival (Live),live,Stephen Stills,1:08:50,,,,Pop/Rock,,,,,,,,
Crossroads/You Can't Catch Me,Bread and Roses Festival (Live),live,Stephen Stills,1:08:50,,,,Pop/Rock,,,,,,,,
Different Man,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,"Stephen Stills, Traditional"
Different Tongues,Illegal Stills,studio,Stephen Stills,35:25:00,1976,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,
Do for the Others,Stephen Stills,studio,Stephen Stills,38:59:00,1970,,"London, England",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Hard Rock, Singer/Songwriter","Confident, Earnest, Earthy, Freewheeling, Gritty, Gutsy, Laid-Back/Mellow, Meandering, Rollicking, Rousing, Swaggering, Yearning, Bravado","Drinking, Empowerment, Feeling Blue",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Stylish, Warm, Bright, Innocent, Lush, Pastoral, Sophisticated, Sparkling, Atmospheric, Calm/Peaceful, Laid-Back/Mellow, Reflective","Sunday Afternoon, Day Driving, Summer",Stephen Stills
Drivin' Thunder,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,"Stephen Stills, Neil Young"
Ecology Song,Stephen Stills 2,studio,Stephen Stills,43:02:00,1971,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation","Jazz, Pop/Rock","Early R&B, Contemporary Pop/Rock, Fusion, Singer/Songwriter","Lively, Sentimental",,Stephen Stills
Everybody Knows,Everybody Knows,studio,Stephen Stills,40:45:00,,,"Straygator Sound, CA",Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",,,,,"Leonard Cohen, Sharon Robinson"
Everybody's Talkin',Stills Alone,studio,Stephen Stills,30:36:00,,,"Audio Vision Recording Studios, Miami, FL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,,,Fred Neil
Everybody's Talkin' at Me,Live,live,Stephen Stills,34:55:00,1975-11,"March 8, 1974 - March 9, 1974","Auditorium Theatre, Chicago, IL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,Fred Neil
Fallen Eagle,Bread and Roses Festival (Live),live,Stephen Stills,1:08:50,,,,Pop/Rock,,,,,,,,
Feed the People,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,Stephen Stills
First Things First,Stills,studio,Stephen Stills,38:19:00,1975-06,," Criteria Studios, Miami, FL Island Studios, London, England Record Plant, Hollywood, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,"Joe Schermie, Jo Smith, Stephen Stills"
Fishes and Scorpions,Stephen Stills 2,studio,Stephen Stills,43:02:00,1971,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Pop/Rock,"Contemporary Pop/Rock, Psychedelic/Garage, Singer/Songwriter","Dreamy, Lively, Restrained, Sentimental",,Stephen Stills
Flaming Heart,Right By You,studio,Stephen Stills,37:46:00,1984,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,
For What It's Worth,Live At Shepherd's Bush,live,Stephen Stills,1:19:53,,,,Pop/Rock,"Singer/Songwriter, Album Rock","Reflective, Rousing, Warm, Wistful","Comfort, Relaxation, Reminiscing",,,,,Stephen Stills
Four Days Gone,Live,live,Stephen Stills,34:55:00,1975-11,"March 8, 1974 - March 9, 1974","Auditorium Theatre, Chicago, IL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,Stephen Stills
Girl From the North Country,Everybody Knows,studio,Stephen Stills,40:45:00,,,"Straygator Sound, CA",Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",,,,,Bob Dylan
Go Back Home,Stephen Stills,studio,Stephen Stills,38:59:00,1970,,"London, England",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Hard Rock, Singer/Songwriter","Confident, Earnest, Earthy, Freewheeling, Gritty, Gutsy, Laid-Back/Mellow, Meandering, Rollicking, Rousing, Swaggering, Yearning, Bravado","Drinking, Empowerment, Feeling Blue",Pop/Rock,"Album Rock, Funk, Rock & Roll","Bright, Freewheeling, Rousing, Tense/Anxious, Warm",Late Night,Stephen Stills
Grey to Green,Right By You,studio,Stephen Stills,37:46:00,1984,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,
Handle With Care,Everybody Knows,studio,Stephen Stills,40:45:00,,,"Straygator Sound, CA",Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",,,,,"Bob Dylan, George Harrison, Jeff Lynne, Roy Orbison, Tom Petty"
Harvey's Tune,Super Session,studio,Stephen Stills,50:22:00,1968,1968,,Blues,"Blues-Rock, Electric Chicago Blues, Regional Blues, Modern Electric Chicago Blues","Bittersweet, Freewheeling, Passionate, Playful, Reverent, Rousing, Street-Smart","Hanging Out, Imagination, Late Night, Relaxation, Road Trip",Blues,"Blues-Rock, Jam Bands, Jazz-Rock",,,
Hearts Gate,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,Stephen Stills
His Holy Modal Majesty,Super Session,studio,Stephen Stills,50:22:00,1968,1968,,Blues,"Blues-Rock, Electric Chicago Blues, Regional Blues, Modern Electric Chicago Blues","Bittersweet, Freewheeling, Passionate, Playful, Reverent, Rousing, Street-Smart","Hanging Out, Imagination, Late Night, Relaxation, Road Trip",Blues,"Blues-Rock, Jam Bands, Psychedelic/Garage",Yearning,,"Michael Bloomfield, Al Kooper"
Houses,Everybody Knows,studio,Stephen Stills,40:45:00,,,"Straygator Sound, CA",Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",,,,,Judy Collins
I Don't Get It,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,Stephen Stills
In My Life,Stills Alone,studio,Stephen Stills,30:36:00,,,"Audio Vision Recording Studios, Miami, FL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,Pop/Rock,"Folk-Rock, Psychedelic/Garage","Sentimental, Yearning","Feeling Blue, Loss/Grief","John Lennon, Paul McCartney"
In the Way,Stills,studio,Stephen Stills,38:19:00,1975-06,," Criteria Studios, Miami, FL Island Studios, London, England Record Plant, Hollywood, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Confident, Earnest, Meandering, Reflective, Sentimental, Warm, Weary, Wistful, Melancholy","Feeling Blue, Freedom, Hanging Out, Introspection, Reflection",Stephen Stills
Isn't It About Time,Live At Shepherd's Bush,live,Stephen Stills,1:19:53,,,,Pop/Rock,"Singer/Songwriter, Album Rock","Reflective, Rousing, Warm, Wistful","Comfort, Relaxation, Reminiscing",,,,,Stephen Stills
Isn't It So,Stills Alone,studio,Stephen Stills,30:36:00,,,"Audio Vision Recording Studios, Miami, FL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,,,Stephen Stills
"It Takes a Lot to Laugh, It Takes a Train to Cry",Super Session,studio,Stephen Stills,50:22:00,1968,1968,,Blues,"Blues-Rock, Electric Chicago Blues, Regional Blues, Modern Electric Chicago Blues","Bittersweet, Freewheeling, Passionate, Playful, Reverent, Rousing, Street-Smart","Hanging Out, Imagination, Late Night, Relaxation, Road Trip",Pop/Rock,"Blues-Rock, Jam Bands","Rousing, Sensual, Yearning",Celebration,Bob Dylan
Jesus Gave Love Away for Free,Bread and Roses Festival (Live),live,Stephen Stills,1:08:50,,,,Pop/Rock,,,,,,,,
Jet Set (Sigh) /Rocky Mountain Way/Jet Set (Sigh),Live,live,Stephen Stills,34:55:00,1975-11,"March 8, 1974 - March 9, 1974","Auditorium Theatre, Chicago, IL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,"Kenny Passarelli, Stephen Stills, Joe Vitale, Joe Walsh"
Johnny's Garden,Live At Shepherd's Bush,live,Stephen Stills,1:19:53,,,,Pop/Rock,"Singer/Songwriter, Album Rock","Reflective, Rousing, Warm, Wistful","Comfort, Relaxation, Reminiscing",Pop/Rock,"Folk-Rock, Contemporary Pop/Rock, Psychedelic/Garage, Soft Rock, Country-Rock","Confident, Earnest, Freewheeling, Meandering, Reflective, Searching, Sentimental, Warm, Wistful, Yearning","Hanging Out, Introspection, Reflection",Stephen Stills
Judy,Everybody Knows,studio,Stephen Stills,40:45:00,,,"Straygator Sound, CA",Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",,,,,Stephen Stills
Just Isn't Like You,Stills Alone,studio,Stephen Stills,30:36:00,,,"Audio Vision Recording Studios, Miami, FL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,,,Stephen Stills
Know You Got to Run,Stephen Stills 2,studio,Stephen Stills,43:02:00,1971,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",,,,,Stephen Stills
Love Again,Right By You,studio,Stephen Stills,37:46:00,1984,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,
Love the One You're With,Stephen Stills,studio,Stephen Stills,38:59:00,1970,,"London, England",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Hard Rock, Singer/Songwriter","Confident, Earnest, Earthy, Freewheeling, Gritty, Gutsy, Laid-Back/Mellow, Meandering, Rollicking, Rousing, Swaggering, Yearning, Bravado","Drinking, Empowerment, Feeling Blue",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock, Rock & Roll","Stylish, Warm, Bright, Cheerful, Innocent, Lively, Lush, Pastoral, Sophisticated, Sparkling","Sunday Afternoon, Day Driving, Summer",Stephen Stills
Lowdown,Thoroughfare Gap,studio,Stephen Stills,,1978,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,,,Stephen Stills
Man's Temptation,Super Session,studio,Stephen Stills,50:22:00,1968,1968,,Blues,"Blues-Rock, Electric Chicago Blues, Regional Blues, Modern Electric Chicago Blues","Bittersweet, Freewheeling, Passionate, Playful, Reverent, Rousing, Street-Smart","Hanging Out, Imagination, Late Night, Relaxation, Road Trip",Blues,"Blues-Rock, Jam Bands, Psychedelic Soul",,,Curtis Mayfield
Marianne,Stephen Stills 2,studio,Stephen Stills,43:02:00,1971,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation","Electronic, Pop/Rock","Blues-Rock, Club/Dance, Contemporary Pop/Rock, Singer/Songwriter","Lively, Optimistic, Sentimental",,Stephen Stills
Midnight in Paris,Illegal Stills,studio,Stephen Stills,35:25:00,1976,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,
Midnight Rider,Thoroughfare Gap,studio,Stephen Stills,,1978,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,Pop/Rock,Contemporary Pop/Rock,"Confident, Earthy, Gutsy, Rousing, Searching, Swaggering, Warm, Bravado","Empowerment, Freedom, Road Trip",Gregg Allman
My Angel,Stills,studio,Stephen Stills,38:19:00,1975-06,," Criteria Studios, Miami, FL Island Studios, London, England Record Plant, Hollywood, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,Stephen Stills
My Favorite Changes,Stills,studio,Stephen Stills,38:19:00,1975-06,," Criteria Studios, Miami, FL Island Studios, London, England Record Plant, Hollywood, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,Stephen Stills
Myth of Sisyphus,Stills,studio,Stephen Stills,38:19:00,1975-06,," Criteria Studios, Miami, FL Island Studios, London, England Record Plant, Hollywood, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,"Kenny Passarelli, Stephen Stills"
New Mama,Stills,studio,Stephen Stills,38:19:00,1975-06,," Criteria Studios, Miami, FL Island Studios, London, England Record Plant, Hollywood, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,Neil Young
No Hiding Place,Right By You,studio,Stephen Stills,37:46:00,1984,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,
No Me Niegas,Illegal Stills,studio,Stephen Stills,35:25:00,1976,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,Sad,,
No Problem,Right By You,studio,Stephen Stills,37:46:00,1984,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,,,,,
Not Fade Away,Thoroughfare Gap,studio,Stephen Stills,,1978,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,Pop/Rock,Contemporary Pop/Rock,"Confident, Gutsy, Rollicking, Rousing, Sentimental, Visceral, Warm","Empowerment, Freedom, Hanging Out, Road Trip","Buddy Holly, Norman Petty"
Nothin' to Do But Today,Stephen Stills 2,studio,Stephen Stills,43:02:00,1971,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation","Pop/Rock, R&B","Early R&B, Contemporary Pop/Rock, Singer/Songwriter",Lively,,Stephen Stills
Old Man Trouble,Bread and Roses Festival (Live),live,Stephen Stills,1:08:50,,,,Pop/Rock,,,,,,,,
